source,destination
novena,newton
pasir ris,tampines
sengkang,punggol
woodlands,marsiling
gul circle,tuas crescent
bishan,marymount
marina bay,bayfront
tiong bahru,redhill
yew tee,choa chu kang
punggol,sam kee
orchard,newton
ang mo kio,yio chu kang
senja,jelapang
cheng lim,sengkang
paya lebar,eunos
kranji,yew tee
fort canning,chinatown
botanic gardens,tan kah kee
downtown,bayfront
dakota,mountbatten
tampines,pasir ris
stadium,mountbatten
thanggam,kupang
queenstown,commonwealth
botanic gardens,farrer road
pioneer,boon lay
kallang,aljunied
petir,bukit panjang
bencoolen,fort canning
kembangan,eunos
tampines west,tampines
little india,dhoby ghaut
promenade,bayfront
expo,upper changi
simei,tanah merah
eunos,kembangan
commonwealth,buona vista
marymount,caldecott
canberra,sembawang
keat hong,teck whye
lorong chuan,bishan
simei,tampines
bugis,promenade
rumbia,compassvale
sam kee,punggol
teck whye,phoenix
nicoll highway,stadium
stadium,nicoll highway
fort canning,bencoolen
cashew,bukit panjang
telok blangah,labrador park
compassvale,sengkang
thanggam,fernvale
clementi,jurong east
rochor,bugis
promenade,nicoll highway
upper changi,tampines east
labrador park,pasir panjang
tan kah kee,botanic gardens
beauty world,king albert park
tuas crescent,gul circle
esplanade,bras basah
outram park,tiong bahru
serangoon,kovan
eunos,paya lebar
telok ayer,downtown
newton,stevens
bras basah,esplanade
beauty world,hillview
canberra,yishun
marymount,bishan
south view,keat hong
yew tee,kranji
novena,toa payoh
bishan,ang mo kio
riviera,kadaloor
sembawang,admiralty
phoenix,teck whye
buona vista,one-north
tuas crescent,tuas west road
redhill,queenstown
serangoon,bartley
paya lebar,aljunied
boon lay,pioneer
tanjong pagar,raffles place
kembangan,bedok
lakeside,chinese garden
jalan besar,bencoolen
dhoby ghaut,city hall
somerset,dhoby ghaut
jalan besar,bendemeer
chinatown,telok ayer
sumang,soo teck
clarke quay,chinatown
jurong east,chinese garden
holland village,farrer road
changi airport,expo
petir,pending
haw par villa,pasir panjang
outram park,tanjong pagar
bras basah,dhoby ghaut
kent ridge,haw par villa
joo koon,gul circle
tongkang,layar
choa chu kang,south view
soo teck,sumang
fernvale,thanggam
raffles place,marina bay
expo,changi airport
pasir panjang,labrador park
promenade,esplanade
nibong,samudera
tuas west road,tuas crescent
stevens,newton
bedok reservoir,tampines west
serangoon,woodleigh
raffles place,tanjong pagar
kranji,marsiling
promenade,bugis
coral edge,meridian
buona vista,commonwealth
outram park,harbourfront
serangoon,lorong chuan
buona vista,holland village
toa payoh,novena
tanah merah,simei
mountbatten,stadium
samudera,nibong
ranggung,kangkar
tan kah kee,sixth avenue
city hall,dhoby ghaut
marsiling,woodlands
oasis,damai
bayfront,promenade
marina bay,raffles place
aljunied,paya lebar
sengkang,compassvale
kovan,serangoon
tampines,simei
aljunied,kallang
yio chu kang,ang mo kio
dover,clementi
orchard,somerset
renjong,sengkang
tanjong pagar,outram park
sixth avenue,tan kah kee
pending,petir
tuas west road,tuas link
holland village,buona vista
mattar,geylang bahru
city hall,bugis
kadaloor,oasis
bukit panjang,senja
riviera,coral edge
tongkang,renjong
choa chu kang,bukit gombak
tampines west,bedok reservoir
caldecott,marymount
macpherson,mattar
rumbia,bakau
bakau,kangkar
tanah merah,expo
damai,punggol
bukit batok,jurong east
macpherson,paya lebar
dhoby ghaut,little india
hougang,buangkok
newton,little india
chinatown,outram park
bendemeer,jalan besar
punggol point,samudera
toa payoh,braddell
damai,oasis
oasis,kadaloor
bendemeer,geylang bahru
farmway,kupang
segar,jelapang
fernvale,layar
pasir panjang,haw par villa
bayfront,downtown
rochor,little india
outram park,chinatown
chinese garden,jurong east
fajar,segar
geylang bahru,mattar
sixth avenue,king albert park
harbourfront,outram park
somerset,orchard
bangkit,fajar
kupang,thanggam
chinatown,fort canning
paya lebar,dakota
samudera,punggol point
bukit batok,bukit gombak
gul circle,joo koon
jelapang,segar
ranggung,sengkang
bartley,tai seng
stevens,botanic gardens
chinatown,clarke quay
hillview,beauty world
keat hong,south view
telok blangah,harbourfront
farrer road,holland village
renjong,tongkang
bishan,lorong chuan
bedok reservoir,bedok north
meridian,cove
lavender,bugis
little india,farrer park
kupang,farmway
commonwealth,queenstown
choa chu kang,yew tee
sengkang,cheng lim
kallang,lavender
queenstown,redhill
farrer park,little india
woodleigh,potong pasir
botanic gardens,caldecott
king albert park,beauty world
bakau,rumbia
nicoll highway,promenade
bukit panjang,petir
cove,meridian
bukit panjang,cashew
potong pasir,woodleigh
city hall,raffles place
dover,buona vista
lorong chuan,serangoon
braddell,bishan
botanic gardens,stevens
expo,tanah merah
soo teck,punggol
coral edge,riviera
ubi,macpherson
khatib,yishun
meridian,coral edge
cheng lim,farmway
jurong east,clementi
punggol,soo teck
harbourfront,telok blangah
layar,tongkang
newton,novena
tampines east,upper changi
bukit gombak,choa chu kang
raffles place,city hall
bugis,rochor
sengkang,renjong
macpherson,tai seng
bedok,kembangan
little india,rochor
labrador park,telok blangah
bishan,braddell
khatib,yio chu kang
senja,bukit panjang
buangkok,hougang
bukit gombak,bukit batok
jurong east,bukit batok
punggol,damai
hougang,kovan
cove,punggol
pioneer,joo koon
sengkang,buangkok
dhoby ghaut,somerset
ang mo kio,bishan
tampines east,tampines
downtown,telok ayer
pending,bangkit
marina south pier,marina bay
jelapang,senja
layar,fernvale
tai seng,macpherson
woodleigh,serangoon
kovan,hougang
braddell,toa payoh
farrer park,boon keng
admiralty,woodlands
kadaloor,riviera
woodlands,admiralty
kent ridge,one-north
segar,fajar
fajar,bangkit
phoenix,bukit panjang
south view,choa chu kang
esplanade,promenade
tuas link,tuas west road
mountbatten,dakota
farmway,cheng lim
ubi,kaki bukit
bangkit,pending
bencoolen,jalan besar
dhoby ghaut,clarke quay
bedok north,bedok reservoir
compassvale,rumbia
kangkar,ranggung
yishun,khatib
boon keng,farrer park
punggol,cove
hillview,cashew
teck whye,keat hong
mattar,macpherson
marina bay,marina south pier
nibong,sumang
potong pasir,boon keng
paya lebar,macpherson
boon keng,potong pasir
joo koon,pioneer
sembawang,canberra
king albert park,sixth avenue
chinese garden,lakeside
tampines,tampines west
clementi,dover
macpherson,ubi
sengkang,ranggung
farrer road,botanic gardens
bugis,lavender
bartley,serangoon
tai seng,bartley
buona vista,dover
upper changi,expo
kaki bukit,ubi
bugis,city hall
punggol,sengkang
boon lay,lakeside
yio chu kang,khatib
caldecott,botanic gardens
geylang bahru,bendemeer
marsiling,kranji
dhoby ghaut,bras basah
telok ayer,chinatown
sumang,nibong
dakota,paya lebar
bedok,tanah merah
lakeside,boon lay
